id,name,category,pack_size ,mrp,price,description
1,skin_moisturize,1,1,250,170,"unctional skin benefits, such as making the skin smooth and soft, increasing skin hydration, and improving skin optical characteristics"
2,perfumes,1,1,300,250,mild fragrance and lasts for 4-6 hrs
3,lipstick,1,1,400,320,A quality like never before.Huge colors to choose from.Skin-friendly products
4,nail_polisher,1,1,150,120,"Decadence at it's finest long lasting , poison free"
5,shampoo,1,1,200,180,anti dandruff and hair nourishing
6,hair_color,1,1,200,150,deep color and long lasting and natural
7,tooth_paste,1,1,120,100,best and dentist advised
101,baby_oil,2,2,750,520,no chemicals and completly ayruvedic
102,diapers,2,1,350,330,leak proof and soft
103,wipes,2,1,200,200,hygenic and antibacterial
104,cerelac,2,1,470,450,nutrioounous
201,protei_powders,3,1,800,720,energy bars and protein powers for boosting immunity and stamina
202,cod_liver_oil,3,1,600,550,increses stamina and immunity
203,chawan_prash,3,1,455,432,for good digestion 
204,aamla_juice,3,1,300,278,for good digestion 
205,honey,3,1,300,250,for daily uses
206,protein_bars,3,10,65,58,instant energy
